prompt_name,change_instructions
auto_deps_main_python.prompt,"1.  In the ""% Here are the inputs and outputs of the function:"" section, under ""Inputs:"", for the `ctx` parameter, clarify that it's used to retrieve global options including `time`.
    2.  In the function's implementation logic (derived from the README or examples), ensure that a `time` variable is retrieved from `ctx.obj.get('time', DEFAULT_TIME)`.
    3.  If the `auto_deps_main` function calls `llm_invoke` or any other function that eventually calls `llm_invoke` (e.g., a hypothetical `dependency_analyzer_llm_call`), ensure this `time` variable is passed to that call. For example, if it calls a function `analyze_dependencies_with_llm`, the call should be `analyze_dependencies_with_llm(..., time=time)`."
auto_include_python.prompt,"1.  In the ""% Here are the inputs and outputs of the function:"" section, under ""Inputs:"", add a new input parameter:
        `'time' - A float between 0 and 1 that controls the thinking effort for the LLM model, passed to llm_invoke. Default is DEFAULT_TIME.`
    2.  In the ""% This program will do the following:"" section:
        *   Modify ""Step 3. Run the auto_include_LLM prompt through llm_invoke:"" to include passing the `time` parameter to `llm_invoke`.
        *   Modify ""Step 4. Run the extract_auto_include_LLM prompt through llm_invoke..."" to include passing the `time` parameter to `llm_invoke`."
bug_main_python.prompt,"1.  In the function's implementation logic, ensure that a `time` variable is retrieved from `ctx.obj.get('time', DEFAULT_TIME)`.
    2.  When calling the `bug_to_unit_test` function, ensure this `time` variable is passed as an argument. Update the `<bug_to_unit_test_example>` if necessary to reflect this."
bug_to_unit_test_python.prompt,"1.  In the ""% Here are the inputs and outputs of the function:"" section, under ""Inputs:"", add a new input parameter:
        `'time' - A float between 0 and 1 that controls the thinking effort for the LLM model, passed to llm_invoke. Default is DEFAULT_TIME.`
    2.  In the ""% This program will use llm_invoke to do the following:"" section:
        *   Modify ""Step 2. Run the inputs through the model using llm_invoke."" to include passing the `time` parameter to `llm_invoke`."
change_main_python.prompt,"1.  In the ""% Here are the inputs and outputs of the function:"" section, under ""Inputs:"", for the `ctx` parameter, note that `time` is retrieved from `ctx.obj`.
    2.  In ""2. Parse Arguments and Options"":
        *   Add `time` to the list of global options retrieved from `ctx.obj`, e.g., `time = ctx.obj.get('time', DEFAULT_TIME)`.
    3.  In ""4. Perform Prompt Modification"":
        *   When calling `process_csv_change`, add `time` to its arguments.
        *   When calling `change_func` (non-CSV mode), add `time` to its arguments.
    4.  Update the `<change_example>` and `<process_csv_change_example>` to reflect the `time` parameter being passed."
change_python.prompt,"1.  In the ""% Here are the inputs and outputs of the function:"" section, under ""Inputs:"", add a new input parameter:
        `'time' - A float between 0 and 1 that controls the thinking effort for the LLM model, passed to llm_invoke. Default is DEFAULT_TIME.`
    2.  In the ""% This program will do the following:"" section:
        *   Modify ""Step 3. Run the change prompt through the model using llm_invoke."" to include passing the `time` parameter to `llm_invoke`.
        *   Modify ""Step 5. Run the extract prompt through llm_invoke..."" to include passing the `time` parameter to `llm_invoke`."
cli_python.prompt,"1.  In the main `cli` Click group definition (`@click.group(...)`), add a new global option:
        `@click.option('--time', type=float, default=None, help='Controls reasoning allocation for LLMs (0.0-1.0). Uses DEFAULT_TIME if None.')`
        (Note: The actual default value like 0.25 will be handled by `llm_invoke` or individual commands if `None` is passed from `ctx.obj`. `DEFAULT_TIME` should be a globally accessible constant.)
    2.  Ensure the `ctx.obj` dictionary is populated with this `time` value. The existing mechanism for global options should handle this.
    3.  In the `<program_description>` section (which includes `README.md`), the README itself should be updated externally, but the prompt should ensure the Click definition reflects the new option."
cmd_test_main_python.prompt,"1.  In the function's implementation logic, ensure that a `time` variable is retrieved from `ctx.obj.get('time', DEFAULT_TIME)`.
    2.  When calling `generate_test` or `increase_tests`, ensure this `time` variable is passed as an argument. Update the corresponding examples (`<generate_test_example>`, `<increase_tests_example>`) if necessary."
code_generator_main_python.prompt,"1.  In the ""% Here are the inputs and outputs of the function:"" section, under ""Inputs:"", for the `ctx` parameter, note that `time` is retrieved from `ctx.obj`.
    2.  In the function's implementation logic:
        *   Retrieve `time = ctx.obj.get('time', DEFAULT_TIME)`.
    3.  In ""% Cloud vs Local Execution Strategy:"":
        *   For step ""2. Otherwise, attempt cloud execution first:"", if the cloud API supports a time/effort parameter, ensure the JSON payload includes it, derived from the `time` variable. Update the `<cloud_code_generator_example>` (api-documentation.md) to reflect this if applicable.
    4.  In ""% The function's implementation should include these key steps:"":
        *   When calling `incremental_code_generator` (Step 4), pass the `time` variable.
        *   When calling `code_generator` (Step 5), pass the `time` variable.
    5.  Update `<code_generator_example>` and `<incremental_code_generator_example>` to show `time` being passed."
code_generator_python.prompt,"1.  In the ""% Here are the inputs and outputs of the function:"" section, under ""Inputs:"", add a new input parameter:
        `'time' - A float between 0 and 1 that controls the thinking effort for the LLM model, passed to llm_invoke. Default is DEFAULT_TIME.`
    2.  In the ""% This program will do the following:"" section:
        *   Modify ""Step 2. Run the prompt (either preprocessed or raw) through llm_invoke..."" to include passing the `time` parameter to `llm_invoke`."
