arm,run_number,syntax_valid,line_count,function_count,class_count,reference_similarity,reference_recall,tests_total,tests_passed,tests_failed,tests_error,test_runtime_seconds
grounded,1,True,339,15,4,0.0222,0.214,217,217,0,0,29.3
grounded,2,True,339,15,4,0.0222,0.214,217,217,0,0,5.3
grounded,3,True,339,15,4,0.0222,0.214,217,217,0,0,6.6
grounded,4,True,339,15,4,0.0222,0.214,217,217,0,0,4.7
grounded,5,True,339,15,4,0.0222,0.214,217,217,0,0,4.9
ungrounded,1,True,436,14,4,0.0215,0.1484,217,217,0,0,4.7
ungrounded,2,True,359,12,4,0.0176,0.1697,217,217,0,0,4.6
ungrounded,3,True,607,19,4,0.033,0.1061,217,217,0,0,4.6
ungrounded,4,True,488,18,4,0.0214,0.1627,217,217,0,0,4.7
ungrounded,5,True,356,10,4,0.0204,0.1644,217,217,0,0,4.9
