arm,run_number,syntax_valid,line_count,function_count,class_count,reference_similarity,reference_recall,tests_total,tests_passed,tests_failed,tests_error,test_runtime_seconds
grounded,1,True,921,23,4,0.1029,0.2332,240,240,0,0,45.4
grounded,2,True,760,20,4,0.1258,0.2897,240,240,0,0,12.9
grounded,3,True,1012,26,5,0.0686,0.4,240,240,0,0,11.7
grounded,4,True,942,27,4,0.1519,0.4161,240,240,0,0,12.0
grounded,5,False,837,0,0,0.1996,0.4391,0,0,0,0,0.0
ungrounded,1,False,879,0,0,0.0487,0.1043,0,0,0,0,0.0
ungrounded,2,False,982,0,0,0.02,0.1123,0,0,0,0,0.0
ungrounded,3,True,790,24,5,0.0211,0.1144,240,240,0,0,13.3
ungrounded,4,False,913,0,0,0.0045,0.1107,0,0,0,0,0.0
ungrounded,5,False,842,0,0,0.032,0.1128,0,0,0,0,0.0
