full_path,file_summary,key_exports,dependencies,content_hash
DSPy_example.py,This script configures DSPy with OpenAI and defines a ChainOfThought module for question answering.,"[""chainofthought""]","[""context""]",403910f924da848e2016f2a19cd9283759b6eac67f969f4d0bd5c573e39784f7
__init__example.py,Demonstrates initialization of the main Click CLI group and registration of subcommands for the PDD tool.,[],"[""click"", ""sys"", ""os"", ""pdd""]",84208a445d03a336e465709ec0687eb969c8d865e6739bf8b79f2c8a8aad351a
agentic_architecture_example.py,This script demonstrates the agentic architecture workflow using a mocked GitHub issue for architecture generation.,[],"[""sys"", ""pathlib"", ""unittest"", ""pdd""]",dd66c9f68f5798dcb8f9f684da1bb88a6b2399e4e3b54b39e92a7d59576cc6be
agentic_architecture_orchestrator_example.py,This script demonstrates usage of the agentic_architecture_orchestrator by mocking dependencies to simulate architecture generation for a sample e-commerce PRD.,[],"[""sys"", ""tempfile"", ""pathlib"", ""unittest"", ""pdd""]",baa4e221c6f4d96766479b34fa6e5db52b51941cdb3304beea7e4f797fe76acc
agentic_bug_example.py,Demonstrates the agentic bug investigation workflow using a mocked GitHub issue.,[],"[""sys"", ""pathlib"", ""unittest"", ""pdd""]",96e35df4e8425a9173ff6a30281892c2bd8b81361cff72b732e488172ddf52f5
agentic_bug_orchestrator_example.py,Simulates the agentic bug orchestrator workflow with mocks for testing bug handling in a sample issue.,[],"[""sys"", ""pathlib"", ""unittest"", ""subprocess"", ""shutil"", ""pdd""]",00db52821223449eeb381e3d57e0fff538628415ac57aacc3266d8cf83f46121
agentic_change_example.py,Demonstrates the agentic change workflow with a mocked GitHub issue for prompt modification.,[],"[""sys"", ""pathlib"", ""unittest"", ""pdd""]",be4da4499b5007ee7e8e7b464dc9f0cb5c9a04aaf5de192ae9cbb0133db06d85
agentic_change_orchestrator_example.py,Demonstrates the agentic change orchestrator by simulating a feature addition workflow with mocked dependencies.,[],"[""sys"", ""tempfile"", ""pathlib"", ""unittest"", ""pdd""]",26a09cdbb0b010106128bf51f6eca9e59fa8d15692a73dea94e8b6d77496f6aa
agentic_checkup_example.py,Demonstrates usage of run_agentic_checkup for GitHub issue-based project health checks with mocked dependencies.,[],"[""sys"", ""pathlib"", ""unittest"", ""pdd"", ""json""]",9495b1288fc198f535a5aba128d0d7a406aa6e3f6f5070b76d35acbeb5a30764
agentic_checkup_orchestrator_example.py,Demonstrates simulated execution of the agentic checkup orchestrator for a CRM app using mocked dependencies.,[],"[""sys"", ""pathlib"", ""unittest"", ""pdd""]",6855fd29b1d0474a877d0eec215b98643a7c8d7e6468a3ad9b2d754c6a9f626a
agentic_common_example.py,This script demonstrates example usages of agentic workflow functions from pdd.agentic_common for testing and illustration.,[],"[""__future__"", ""json"", ""os"", ""subprocess"", ""sys"", ""pathlib"", ""tempfile"", ""unittest"", ""rich"", ""pdd""]",113b5829cae3a9e38c362b74d5115ba09cab06c7be5831527d9829f97f7b3b7d
agentic_crash_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_e2e_fix_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_e2e_fix_orchestrator_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_fix_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_langtest_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_sync_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_sync_runner_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_test_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_test_orchestrator_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_update_example.py,Error processing file: All candidate models failed.,[],[],error
agentic_verify_example.py,Error processing file: All candidate models failed.,[],[],error
anthropic_counter_example.py,Error processing file: All candidate models failed.,[],[],error
anthropic_thinking_test.py,Error processing file: All candidate models failed.,[],[],error
anthropic_tool_example.py,Error processing file: All candidate models failed.,[],[],error
api_key_scanner_example.py,Error processing file: All candidate models failed.,[],[],error
architecture_sync_example.py,Error processing file: All candidate models failed.,[],[],error
auth_service_example.py,Error processing file: All candidate models failed.,[],[],error
auto_deps_main_example.py,Error processing file: All candidate models failed.,[],[],error
auto_include_example.py,Error processing file: All candidate models failed.,[],[],error
auto_update_example.py,Error processing file: All candidate models failed.,[],[],error
autotokenizer_example.py,Error processing file: All candidate models failed.,[],[],error
bug_main_example.py,Error processing file: All candidate models failed.,[],[],error
bug_to_unit_test_example.py,Error processing file: All candidate models failed.,[],[],error
bug_to_unit_test_failure_example.py,Error processing file: All candidate models failed.,[],[],error
change/1/initial_code_generator.py,Error processing file: All candidate models failed.,[],[],error
change/10/initial_fix_errors_from_unit_tests.py,Error processing file: All candidate models failed.,[],[],error
change/11/initial_code_generator.py,Error processing file: All candidate models failed.,[],[],error
change/12/initial_postprocess.py,Error processing file: All candidate models failed.,[],[],error
change/13/initial_split.py,Error processing file: All candidate models failed.,[],[],error
change/14/initial_change.py,Error processing file: All candidate models failed.,[],[],error
change/15/initial_cli.py,Error processing file: All candidate models failed.,[],[],error
change/16/fix_code_module_errors_example.py,Error processing file: All candidate models failed.,[],[],error
change/16/fix_error_loop.py,Error processing file: All candidate models failed.,[],[],error
change/16/fix_errors_from_unit_tests_example.py,Error processing file: All candidate models failed.,[],[],error
change/17/continue_generation.py,Error processing file: All candidate models failed.,[],[],error
change/18/code_generator.py,Error processing file: All candidate models failed.,[],[],error
change/19/context_generator.py,Error processing file: All candidate models failed.,[],[],error
change/2/initial_context_generator.py,Error processing file: All candidate models failed.,[],[],error
change/20/generate_test.py,Error processing file: All candidate models failed.,[],[],error
change/21/auto_include.py,Error processing file: All candidate models failed.,[],[],error
change/22/preprocess.py,Error processing file: All candidate models failed.,[],[],error
change/3/intial_test_generator.py,Error processing file: All candidate models failed.,[],[],error
change/4/initial_postprocess.py,Error processing file: All candidate models failed.,[],[],error
change/5/initial_split.py,Error processing file: All candidate models failed.,[],[],error
change/6/initial_xml_tagger.py,Error processing file: All candidate models failed.,[],[],error
change/7/initial_fix_errors.py,Error processing file: All candidate models failed.,[],[],error
change/8/initial_fix_errors_from_unit_tests.py,Error processing file: All candidate models failed.,[],[],error
change/9/initial_fix_error_loop.py,Error processing file: All candidate models failed.,[],[],error
change_example.py,Error processing file: All candidate models failed.,[],[],error
change_main_example.py,Error processing file: All candidate models failed.,[],[],error
ci_drift_heal_example.py,Error processing file: All candidate models failed.,[],[],error
ci_validation_example.py,Error processing file: All candidate models failed.,[],[],error
cli_detector_example.py,Error processing file: All candidate models failed.,[],[],error
cli_example.py,Error processing file: All candidate models failed.,[],[],error
click_example.py,Error processing file: All candidate models failed.,[],[],error
click_executor_example.py,Error processing file: All candidate models failed.,[],[],error
cloud_example.py,Error processing file: All candidate models failed.,[],[],error
cloud_function_call.py,Error processing file: All candidate models failed.,[],[],error
cmd_test_main_example.py,Error processing file: All candidate models failed.,[],[],error
code_generator_example.py,Error processing file: All candidate models failed.,[],[],error
code_generator_main_example.py,Error processing file: All candidate models failed.,[],[],error
commands/__init___example.py,Error processing file: All candidate models failed.,[],[],error
commands/analysis_example.py,Error processing file: All candidate models failed.,[],[],error
commands/auth_example.py,Error processing file: All candidate models failed.,[],[],error
commands/connect_example.py,Error processing file: All candidate models failed.,[],[],error
commands/fix_example.py,Error processing file: All candidate models failed.,[],[],error
commands/generate_example.py,Error processing file: All candidate models failed.,[],[],error
commands/maintenance_example.py,Error processing file: All candidate models failed.,[],[],error
commands/misc_example.py,Error processing file: All candidate models failed.,[],[],error
commands/modify_example.py,Error processing file: All candidate models failed.,[],[],error
commands/sessions_example.py,Error processing file: All candidate models failed.,[],[],error
commands/templates_example.py,Error processing file: All candidate models failed.,[],[],error
commands/utility_example.py,Error processing file: All candidate models failed.,[],[],error
comment_line_example.py,Error processing file: All candidate models failed.,[],[],error
config_example.py,Error processing file: All candidate models failed.,[],[],error
conflicts_in_prompts_example.py,Error processing file: All candidate models failed.,[],[],error
conflicts_main_example.py,Error processing file: All candidate models failed.,[],[],error
construct_paths_example.py,Error processing file: All candidate models failed.,[],[],error
content_selector_example.py,Error processing file: All candidate models failed.,[],[],error
context_generator_example.py,Error processing file: All candidate models failed.,[],[],error
context_generator_main_example.py,Error processing file: All candidate models failed.,[],[],error
continue_generation_example.py,Error processing file: All candidate models failed.,[],[],error
core/cli_example.py,Error processing file: All candidate models failed.,[],[],error
core/cloud_example.py,Error processing file: All candidate models failed.,[],[],error
core/dump_example.py,Error processing file: All candidate models failed.,[],[],error
core/errors_example.py,Error processing file: All candidate models failed.,[],[],error
core/utils_example.py,Error processing file: All candidate models failed.,[],[],error
crash_main_example.py,Error processing file: All candidate models failed.,[],[],error
create_gcp_credential.py,Error processing file: All candidate models failed.,[],[],error
detect_change/2/change_detect.csv,Error processing file: All candidate models failed.,[],[],error
detect_change/2/prompt_list.json,Error processing file: All candidate models failed.,[],[],error
detect_change_example.py,Error processing file: All candidate models failed.,[],[],error
detect_change_main_example.py,Error processing file: All candidate models failed.,[],[],error
dict_utils_example.py,Error processing file: All candidate models failed.,[],[],error
edit_file_example.py,Error processing file: All candidate models failed.,[],[],error
embed_retrieve_example.py,Error processing file: All candidate models failed.,[],[],error
execute_bug_to_unit_test_failure.py,Error processing file: All candidate models failed.,[],[],error
extracts_prune_example.py,Error processing file: All candidate models failed.,[],[],error
fastapi_example.py,Error processing file: All candidate models failed.,[],[],error
final_llm_output.py,Error processing file: All candidate models failed.,[],[],error
find_section_example.py,Error processing file: All candidate models failed.,[],[],error
firecrawl_example.py,Error processing file: All candidate models failed.,[],[],error
fix_code_loop_example.py,Error processing file: All candidate models failed.,[],[],error
fix_code_module_errors_example.py,Error processing file: All candidate models failed.,[],[],error
fix_error_loop_example.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/1/conflicts_in_prompts.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/1/test_conflicts_in_prompts.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/2/code_generator.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/2/test_code_generator.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/3/context_generator.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/3/test_context_generator.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/4/detect_change.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/4/detect_change_1_0_1.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/4/test_detect_change.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/4/test_detect_change_1_0_1.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/5/continue_generation.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/5/continue_generation_2_0_1.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/5/test_continue_generation.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests/5/test_continue_generation_2_0_1.py,Error processing file: All candidate models failed.,[],[],error
fix_errors_from_unit_tests_example.py,Error processing file: All candidate models failed.,[],[],error
fix_main_example.py,Error processing file: All candidate models failed.,[],[],error
